,id,name,caption,image_path,exists
0,ROCO_00002,PMC4083729_AMHSR-4-14-g002.jpg," Computed tomography scan in axial view showing obliteration of the left maxillary sinus
",/kaggle/input/datasets/virajbagal/roco-dataset/all_data/train/radiology/images/PMC4083729_AMHSR-4-14-g002.jpg,True
1,ROCO_00003,PMC2837471_IJD2009-150251.001.jpg," Bacterial contamination occurred after completion of root canal treatment in the tooth, which remained with a temporary filling for 15 month.
",/kaggle/input/datasets/virajbagal/roco-dataset/all_data/train/radiology/images/PMC2837471_IJD2009-150251.001.jpg,True
2,ROCO_00004,PMC2505281_11999_2007_30_Fig6_HTML.jpg," The patient had residual paralysis of the hand after poliomyelitis. It was necessary to stabilize the thumb with reference to the index finger. This was accomplished by placing a graft from the bone bank between the first and second metacarpals. The roentgenogram shows the complete healing of the graft one year later.
",/kaggle/input/datasets/virajbagal/roco-dataset/all_data/train/radiology/images/PMC2505281_11999_2007_30_Fig6_HTML.jpg,True
3,ROCO_00005,PMC3745845_IJD2013-683423.005.jpg," Panoramic radiograph after immediate loading.
",/kaggle/input/datasets/virajbagal/roco-dataset/all_data/train/radiology/images/PMC3745845_IJD2013-683423.005.jpg,True
4,ROCO_00007,PMC4917066_amjcaserep-17-301-g001.jpg," Plain abdomen x-ray: Multiple air levels at the mid-abdomen (arrows), no radiopaque shadow, and no air under the diaphragm.
",/kaggle/input/datasets/virajbagal/roco-dataset/all_data/train/radiology/images/PMC4917066_amjcaserep-17-301-g001.jpg,True
5,ROCO_00008,PMC4805615_13244_2016_481_Fig12_HTML.jpg," A 3-year-old child with visual difficulties. Axial FLAIR image show a supra-sellar lesion extending to the temporal lobes along the optic tracts (arrows) with moderate mass effect, compatible with optic glioma. FLAIR hyperintensity is also noted in the left mesencephalon from additional tumoral involvement
",/kaggle/input/datasets/virajbagal/roco-dataset/all_data/train/radiology/images/PMC4805615_13244_2016_481_Fig12_HTML.jpg,True
6,ROCO_00009,PMC2584650_1757-1626-1-193-1.jpg," Showing the subtrochanteric fracture in the porotic bone.
",/kaggle/input/datasets/virajbagal/roco-dataset/all_data/train/radiology/images/PMC2584650_1757-1626-1-193-1.jpg,True
7,ROCO_00010,PMC3283944_JISP-15-414-g006.jpg," Post orthodontic treatment. Root canal therapy done with maxillary incisors
",/kaggle/input/datasets/virajbagal/roco-dataset/all_data/train/radiology/images/PMC3283944_JISP-15-414-g006.jpg,True
8,ROCO_00011,PMC4946383_HI-10-1-25-g003.jpg," Two sequential thrombi in the distal segment of the obtuse marginal 2 (OM2).
",/kaggle/input/datasets/virajbagal/roco-dataset/all_data/train/radiology/images/PMC4946383_HI-10-1-25-g003.jpg,True
9,ROCO_00012,PMC5646151_TOORTHJ-11-882_F2.jpg," An example of MRI image that takes advantage of joint effusion as contrast material in acute scenario. 57x46mm (150 x 150 DPI).
",/kaggle/input/datasets/virajbagal/roco-dataset/all_data/train/radiology/images/PMC5646151_TOORTHJ-11-882_F2.jpg,True
10,ROCO_00013,PMC2505289_11999_2007_20_Fig1_HTML.jpg," Child with abduction and flexion of right lower extremity and hyperextension of the tibia on the femur, associated with dislocation of the left hip, probably the result of the dangerous position of adduction in production of pathological dislocation. A roentgenogram of the mother’s pelvis, one week before delivery, showed this same deformity in utero.
",/kaggle/input/datasets/virajbagal/roco-dataset/all_data/train/radiology/images/PMC2505289_11999_2007_20_Fig1_HTML.jpg,True
11,ROCO_00014,PMC3932583_IJRI-23-379-g009.jpg," Axial T2 HASTE MR image shows loss of normal trilaminar myometrial architecture and mild focal thinning of placenta at the site of compression of myometrium in front of aorta (black arrow), just proximal to the bifurcation. Normal trilaminar signal pattern of myometrium can be seen at other regions (white arrows)
",/kaggle/input/datasets/virajbagal/roco-dataset/all_data/train/radiology/images/PMC3932583_IJRI-23-379-g009.jpg,True
12,ROCO_00015,PMC2577646_1757-1626-1-161-1.jpg," Hydronephrosis appearance in sonography.
",/kaggle/input/datasets/virajbagal/roco-dataset/all_data/train/radiology/images/PMC2577646_1757-1626-1-161-1.jpg,True
13,ROCO_00017,PMC4251391_jpm-03-00203-g013.jpg," Coronary angiogram demonstrating occluded OM1 and OM2 arteries.
",/kaggle/input/datasets/virajbagal/roco-dataset/all_data/train/radiology/images/PMC4251391_jpm-03-00203-g013.jpg,True
14,ROCO_00018,PMC3886396_CRIM.SURGERY2013-642394.002.jpg," Cardiac catheterization showing normal coronaries and a tumor blush.
",/kaggle/input/datasets/virajbagal/roco-dataset/all_data/train/radiology/images/PMC3886396_CRIM.SURGERY2013-642394.002.jpg,True
15,ROCO_00019,PMC3214859_cmj-47-57-g003.jpg," Follow-up coronary angiography and fluoroscopy showed a gap in the stent strut. A-D: a gap in the stent strut.
",/kaggle/input/datasets/virajbagal/roco-dataset/all_data/train/radiology/images/PMC3214859_cmj-47-57-g003.jpg,True
16,ROCO_00021,PMC4559407_pone.0137109.g004.jpg," Right-sided metatarsal in dorsoplantar projection.Cow. Age group IV—cattle 4–8 years. (a) Narrow symphysis that is (b) indistinct from the bone surface.
",/kaggle/input/datasets/virajbagal/roco-dataset/all_data/train/radiology/images/PMC4559407_pone.0137109.g004.jpg,True
17,ROCO_00022,PMC5573896_CEJI-42-30450-g004.jpg," Fourth patient’s MRI
",/kaggle/input/datasets/virajbagal/roco-dataset/all_data/train/radiology/images/PMC5573896_CEJI-42-30450-g004.jpg,True
18,ROCO_00023,PMC5443647_cureus-0009-00000001189-i02.jpg," Orthopantomograph
",/kaggle/input/datasets/virajbagal/roco-dataset/all_data/train/radiology/images/PMC5443647_cureus-0009-00000001189-i02.jpg,True
19,ROCO_00024,PMC4603237_JoU-2012-0032-g010.jpg," Focal steatosis of the liver parenchyma
",/kaggle/input/datasets/virajbagal/roco-dataset/all_data/train/radiology/images/PMC4603237_JoU-2012-0032-g010.jpg,True
20,ROCO_00026,PMC5292174_CRICC2017-8063837.001.jpg," Preoperative TTE, end diastole (preop pics).
",/kaggle/input/datasets/virajbagal/roco-dataset/all_data/train/radiology/images/PMC5292174_CRICC2017-8063837.001.jpg,True
21,ROCO_00028,PMC5409401_AJNS-12-321-g003.jpg," Magnetic resonance T2 weighted image showing foraminal extensions of the cysts
",/kaggle/input/datasets/virajbagal/roco-dataset/all_data/train/radiology/images/PMC5409401_AJNS-12-321-g003.jpg,True
22,ROCO_00029,PMC4627831_cureus-0007-000000000328-i04.jpg," Post-Treatment MRIAxial T1-weighted, contrast-enhanced image showing the same lesion as Figure 3. 
",/kaggle/input/datasets/virajbagal/roco-dataset/all_data/train/radiology/images/PMC4627831_cureus-0007-000000000328-i04.jpg,True
23,ROCO_00030,PMC362879_1471-2466-4-1-1.jpg," Abdominal CT scan showing pancreatic pseudocyst
",/kaggle/input/datasets/virajbagal/roco-dataset/all_data/train/radiology/images/PMC362879_1471-2466-4-1-1.jpg,True
24,ROCO_00032,PMC4495506_IJU-31-259-g004.jpg," Axial contrast-enhanced computed tomography image of the abdomen 3 months after anti tuberculous treatment showing complete resolution of the lesions
",/kaggle/input/datasets/virajbagal/roco-dataset/all_data/train/radiology/images/PMC4495506_IJU-31-259-g004.jpg,True
25,ROCO_00033,PMC3543206_1752-1947-6-425-2.jpg," Lytic lesions (arrows) involving the humerus.
",/kaggle/input/datasets/virajbagal/roco-dataset/all_data/train/radiology/images/PMC3543206_1752-1947-6-425-2.jpg,True
